年度/Year,月份/Month,發電站名稱/Station Name,裝置容量(瓩)/Installed Capacity(kW),發電量(度)/Power Generation(kW-h),平均單位裝置容量每日發電量/Average of Each Unit Power Generatioon Per Day
2017,2,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,7564,2.11
2017,2,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,3311,2.55
2017,2,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,157433,2.39
2017,2,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,586088,2.91
2017,2,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,8505,3.01
2017,2,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,2979,1.6
2017,2,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,476020,3.31
2017,2,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,159059,3.15
2017,2,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,6013,3.23
2017,2,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,150151,3.32
2017,2,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,5696,2.6
2017,2,澎湖七美光電站/Penghu Qimei Photovoltaics Station,154.56,8450,1.76
2017,2,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,53571,3.27
2017,3,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,48198,2.39
2017,3,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,2605,2.09
2017,3,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,7732,2.72
2017,3,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,9176,2.56
2017,3,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,3671,2.83
2017,3,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,208745,3.17
2017,3,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,697643,3.47
2017,3,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,9158,3.24
2017,3,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,3914,2.1
2017,3,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,588272,4.09
2017,3,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,205762,4.08
2017,3,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,7260,3.9
2017,3,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,181984,4.03
2017,3,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,6816,3.11
2017,3,澎湖七美光電站/Penghu Qimei Photovoltaics Station,154.56,11096,2.32
2017,3,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,44781,2.74
2017,4,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,66604,3.3
2017,4,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,3861,3.09
2017,4,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,8373,2.94
2017,4,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,9799,2.73
2017,4,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,3909,3.01
2017,4,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,213216,3.24
2017,4,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,730315,3.63
2017,4,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,9685,3.43
2017,4,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,4106,2.21
2017,4,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,593164,4.13
2017,4,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,195544,3.88
2017,4,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,7236,3.89
2017,4,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,186425,4.12
2017,4,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,8555,3.91
2017,4,澎湖七美光電站/Penghu Qimei Photovoltaics Station,154.56,13308,2.78
2017,4,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,55974,3.42
2017,5,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,72308,3.58
2017,5,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,3889,3.12
2017,5,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,9426,3.31
2017,5,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,10490,2.92
2017,5,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,4136,3.18
2017,5,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,238684,3.63
2017,5,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,779690,3.88
2017,5,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,10159,3.6
2017,5,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,4094,2.2
2017,5,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,609836,4.24
2017,5,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,213508,4.23
2017,5,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,7353,3.95
2017,5,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,183722,4.06
2017,5,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,8416,3.84
2017,5,澎湖七美光電站/Penghu Qimei Photovoltaics Station,154.56,14191,2.96
2017,5,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,60898,3.72
2017,6,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,68465,3.39
2017,6,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,3800,3.05
2017,6,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,8499,2.99
2017,6,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,9120,2.54
2017,6,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,3670,2.83
