DateTime,Volume,Transaction,Value,Open,High,Low,Close,Change,ForeignVol,TrustVol,DealerVol,InvestorsVol
2018/10/30,29085931,8574,6487213284,221,225,220.5,223,0.5,36872117,477000,849999,38199116
2018/10/31,59933201,19183,13844478353,228,234,228,234,11,86952232,863000,2380000,90195232
2018/11/1,44514797,11435,10480329245,236,237,233,235.5,1.5,66735604,211000,1452000,68398604
2018/11/2,30785361,11223,7249667833,236.5,236.5,233.5,236.5,1,40596506,238423,1154000,41988929
2018/11/5,28157065,6994,6592130635,233,235.5,232,235,1.5,47983789,20000,1613000,49616789
2018/11/6,35501176,7013,8311988968,234,235.5,232.5,234.5,0.5,59558209,53000,1136000,60747209
2018/11/7,39842652,7387,9337023278,233,236,232.5,234,0.5,59866991,355000,2479000,62700991
2018/11/8,28086146,9461,6645771069,237.5,237.5,236,236.5,2.5,41309912,64000,1417000,42790912
2018/11/9,23792081,7886,5526997792,234.5,234.5,231,231,5.5,30270829,151000,1709000,32130829
2018/11/12,26202445,6252,6101377163,230,234.5,230,231.5,0.5,43654194,7000,1097000,44758194
2018/11/13,37565127,11507,8504691960,224.5,228,224.5,227.5,4,57731169,143000,1617000,59491169
2018/11/14,24565279,6007,5639284241,230,231,228.5,228.5,1,40706726,39000,602993,41348719
2018/11/15,22230228,5996,5124189444,229.5,232,228.5,231,2.5,35559624,179000,1291000,37029624
2018/11/16,47138909,16009,10696822542,229,229,225,226,5,69365659,1069552,1798000,72233211
2018/11/19,51034754,16289,11355347628,225,225,221,222,4,71500258,1232000,1582000,74314258
2018/11/20,45686756,16874,9995960780,219,220.5,218,218,4,60305598,805552,1072995,62184145
2018/11/21,38478343,13580,8361178460,214.5,220,214,219,1,50326910,695000,2187000,53208910
2018/11/22,22060610,9095,4867686945,221.5,222,219,219,0,28158499,74000,1770000,30002499
2018/11/23,15553334,6164,3406422046,220.5,220.5,217,218.5,0.5,20036457,142000,541000,20719457
2018/11/26,35267804,9422,7847501792,219,224,218.5,223,4.5,56682074,211000,871000,57764074
2018/11/27,32676349,10170,7239283641,220,224.5,219,224,1,51924376,62000,936000,52922376
2018/11/28,24759026,8316,5560623349,222.5,227,222,226.5,2.5,34719273,348277,2057000,37124550
2018/11/29,46206207,15849,10629450003,231.5,231.5,229,229,2.5,64474479,282000,928000,65684479
2018/11/30,57352957,10931,12995823319,229.5,231,225.5,225.5,3.5,99887680,75000,1335000,101297680
2018/12/3,49612186,19747,11579966474,231,235,231,235,9.5,58497423,710000,1925000,61132423
2018/12/4,41947162,12545,9791147799,233,234.5,231,234,1,66134612,1279000,1591000,69004612
2018/12/5,45634576,15703,10316394736,226.5,227.5,225,226,8,61510407,414000,2192000,64116407
2018/12/6,40181112,15702,8853295746,220,222,219.5,220,6,50002204,198000,2485000,52685204
2018/12/7,31997568,8315,7097739916,222.5,223.5,220.5,221,1,50231240,106000,2441000,52778240
2018/12/10,26229461,8650,5744814170,219.5,220,218.5,219,2,39852861,216239,518000,40587100
2018/12/11,27395220,8509,6067551383,220,223,219,222.5,3.5,41264519,126000,607000,41997519
2018/12/12,32926379,9117,7418108779,223.5,227,222.5,226.5,4,48372685,111000,1967000,50450685
2018/12/13,32433141,8635,7345479366,227,227.5,225,226,0.5,44447526,690000,1094000,46231526
2018/12/14,43226159,10454,9570070114,223,223.5,220.5,222.5,3.5,63275394,122000,1809000,65206394
2018/12/17,18964952,6449,4229977248,221,225,220,223.5,1,28459452,35000,541000,29035452
2018/12/18,30270541,10521,6713448829,221,223,220.5,222.5,1,48905952,798000,1175000,50878952
2018/12/19,23415082,7875,5255393450,222,225.5,222,225.5,3,35386035,769000,872000,37027035
2018/12/20,38697116,10528,8573665030,221,222.5,221,221,4.5,56159064,380000,1134215,57673279
2018/12/21,46947532,9554,10401202852,219,224,219,223.5,2.5,72439031,447000,1471412,74357443
2018/12/22,5185247,2229,1145814834,220,221.5,220,221.5,2,3906000,13000,521000,4440000
2018/12/24,23376100,6122,5151549100,221.5,221.5,219.5,220,1.5,34186100,78000,434000,34698100
2018/12/25,19402777,8065,4198767163,215.5,218,215,217.5,2.5,18402100,696107,2134000,21232207
2018/12/26,16893259,6998,3678108462,218.5,219.5,216,216.5,1,20643000,419000,1662000,22724000
2018/12/27,21915484,9531,4874845852,222,224,220.5,223,6.5,25765900,106000,2008000,27879900
2018/12/28,30156773,10247,6762447425,223.5,225.5,222.5,225.5,2.5,41301480,84000,1477000,42862480
2019/1/2,32900482,12329,7276419230,226.5,226.5,219,219.5,6,35998842,341000,2644000,38983842
2019/1/3,34615620,14549,7459051790,214,218,214,215.5,4,43286877,55000,1687000,45028877
2019/1/4,67043521,28786,13987136785,211.5,211.5,206.5,208,7.5,70491980,2488000,3601000,76580980
2019/1/7,35695176,11224,7591116569,212,214,211,213,5,51057270,525000,2175000,53757270
2019/1/8,23794481,9377,5019703557,212,212.5,210,211,2,34893438,1493000,1358000,37744438
2019/1/9,51255446,14098,11006827093,212,216.5,211,215.5,4.5,71803192,1020000,4714995,77538187
2019/1/10,20832593,6018,4491377349,216,216.5,214.5,216,0.5,36007202,300000,545000,36852202
2019/1/11,28658288,11198,6296719320,219,220.5,218,220.5,4.5,39148998,651000,1294000,41093998
2019/1/14,17612296,6469,3844735324,218.5,220,217,218.5,2,24094338,682000,451000,25227338
2019/1/15,42990923,11609,9399209983,216.5,221,215.5,221,2.5,58397021,1325234,1709000,61431255
2019/1/16,30038282,8950,6563789758,218.5,220,217.5,217.5,3.5,43529685,624000,1612000,45765685
